#T/C	I/A
-62.0	6.7e-12
-60.0	6.8e-12
-59.0	7.0e-12
-57.0	7.5e-12
-56.0	7.7e-12
-55.0	8.0e-12
-54.0	8.1e-12
-53.0	8.3e-12
-52.0	8.5e-12
-50.0	8.7e-12
-49.0	8.9e-12
-48.0	9.1e-12
-47.0	9.2e-12
-46.0	9.4e-12
-44.0	1.1e-11
-42.0	1.1e-11
-40.0	1.3e-11
-38.0	1.5e-11
-36.0	1.8e-11
-35.0	2.0e-11
-34.0	2.3e-11
-33.0	2.6e-11
-32.0	2.9e-11
-31.0	3.3e-11
-30.0	3.8e-11
-29.0	4.2e-11
-28.0	4.8e-11
-27.0	5.5e-11
-26.0	6.3e-11
-25.0	7.1e-11
-24.0	8.0e-11
-23.0	9.0e-11
-22.0	1.0e-10
-21.0	1.2e-10
-20.0	1.4e-10
-19.0	1.5e-10
-18.0	1.6e-10
-17.0	1.7e-10
-16.0	1.8e-10
-15.0	1.8e-10
-14.0	1.9e-10
-13.0	1.9e-10
-11.0	1.8e-10
-10.0	1.7e-10
-9.0	1.5e-10
-8.0	1.4e-10
-7.0	1.3e-10
-6.0	1.1e-10
-5.0	1.0e-10
-4.5	8.5e-11
-4.0	7.8e-11
-3.0	7.0e-11
-2.5	6.6e-11
-2.0	6.4e-11
-1.0	6.1e-11
0.0 5.9e-11
1.0	5.8e-11
2.0	5.9e-11
3.0	6.0e-11
4.0	6.2e-11
5.0	6.4e-11
6.0	6.7e-11
7.0	6.9e-11
8.0	7.2e-11
9.0	7.5e-11
10.0	7.7e-11
11.0	8.1e-11
12.0	8.4e-11
13.0	8.7e-11
14.0	9.0e-11
15.0	9.4e-11
16.0	9.7e-11
17.0	1.1e-10
18.0	1.2e-10
19.0	1.2e-10
20.0	1.3e-10
21.0	1.3e-10
22.0	1.4e-10
23.0	1.5e-10
24.0	1.5e-10
25.0	1.6e-10
26.0	1.7e-10
27.0	1.8e-10
28.0	1.9e-10
29.0	2.0e-10
30.0	2.2e-10
31.5	2.4e-10
32.0	2.5e-10
34.0	2.8e-10
35.0	3.0e-10
36.0	3.1e-10
37.0	3.3e-10
38.0	3.5e-10
39.0	3.6e-10
40.0	3.8e-10
41.0	4.0e-10
42.0	4.2e-10
43.0	4.3e-10
44.0	4.4e-10
45.0	4.5e-10
46.0	4.5e-10
47.0	4.6e-10
48.0	4.6e-10
49.0	4.6e-10
50.0	4.6e-10
51.0	4.5e-10
52.0	4.4e-10
53.0	4.2e-10
54.0	4.1e-10
55.0	3.9e-10
56.0	3.7e-10
57.0	3.5e-10
58.0	3.3e-10
59.0	3.0e-10
60.0	2.8e-10
61.0	2.6e-10
62.0 	2.5e-10
63.0	2.3e-10
64.0	2.2e-11
